overall_rank,pitch_type_rank,pitch_type_batter_side_rank,pitcher_name,pitcher_id,pitcher_team,pitch_type,batter_side,split_pitch_count,pitch_value_pitch_count,pitch_value_20_80,pitch_value_0_100,location_score_20_80,location_score_0_100,average_location_advantage,median_location_advantage,final_pitch_score_raw,final_pitch_score,final_pitch_score_0_100,pitch_value_raw,location_score_raw,pitch_value_xwoba_frontier,pitch_value_overall_rank,pitch_value_pitch_type_rank,groundball_pct,line_drive_pct,flyball_pct,groundball_score_20_80,groundball_score_0_100,groundball_score_rank,groundball_score_pitch_type_rank,strikeout_score_20_80,strikeout_score_0_100,strikeout_score_rank,strikeout_score_pitch_type_rank,line_drive_score_20_80,line_drive_score_0_100,line_drive_score_rank,line_drive_score_pitch_type_rank,flyball_score_20_80,flyball_score_0_100,flyball_score_rank,flyball_score_pitch_type_rank
26,14,8,"Donnan, Blake",1000557509.0,FLO_Y'A,Slider,R,52,65,69.19457067632484,96.50537634408605,63.41858896721696,90.62901155327344,0.0115398470121581,0.0,67.46177616359248,67.46177616359248,98.1103552532124,1.681346888141707,0.0115398470121581,0.1870657662411626,27,13,0.3,0.2,0.5,43.43527987231734,27.284946236559136,542,119,76.25274670252806,98.79032258064515,10,3,49.80407096194889,46.90860215053764,384,90,43.27513356248082,27.1505376344086,531,117
27,15,9,"Toribio, Noe",672848.0,TRO_AIG,Slider,R,89,107,69.67962636010517,96.63978494623656,60.74074138938578,86.71373555840822,0.0100365311228713,0.0041158122971017,66.99796086888935,66.99796086888935,98.0347694633409,1.723835302092295,0.0100365311228713,0.1544595760952433,26,12,0.3103448275862069,0.1379310344827586,0.5517241379310345,44.227675828941386,30.107526881720432,523,115,49.97006184966892,56.31720430107527,333,114,57.85150720229421,82.05645161290323,136,37,39.14365217900023,14.045698924731182,641,134
28,16,10,"Nakata, Yuto",1000432352.0,QUE_CAP,Slider,R,83,90,69.77340464532706,96.7741935483871,59.82252206985475,84.65982028241335,0.0095210523090924,0.0,66.78813987268536,66.78813987268536,97.95918367346938,1.7320498035100096,0.0095210523090924,0.161799445225933,25,11,0.4761904761904761,0.1428571428571428,0.3809523809523809,56.93116656212051,76.68010752688173,174,35,57.28384468818776,79.50268817204301,153,59,57.21282178639379,80.71236559139786,148,41,52.7840986514441,61.55913978494624,288,57
29,17,11,"Vega, Lucas",837223.0,TRO_AIG,Slider,R,84,117,65.98899746215959,94.08602150537637,67.35999239838105,94.03080872913992,0.0137525100678191,0.0,66.40029594302602,66.40029594302602,97.88359788359789,1.4005549580051837,0.0137525100678191,0.1530345633871248,45,17,0.2424242424242424,0.1515151515151515,0.6060606060606061,39.02507611373301,13.172043010752688,648,139,55.77273253146899,75.8736559139785,181,71,56.090283782690015,76.54569892473118,177,53,34.803510119586264,5.846774193548387,703,146
30,18,12,"Hagan, Jack",699522.0,DOW_EAS1,Slider,R,118,184,62.22880557853757,89.24731182795699,75.21722806113547,98.39537869062902,0.0181634807726028,0.0110090077354418,66.12533232331694,66.12533232331694,97.80801209372638,1.071181249733523,0.0181634807726028,0.2108994825818363,81,26,0.3777777777777777,0.2,0.4222222222222222,49.39292354619441,51.9489247311828,358,80,53.51613837743563,68.34677419354838,236,89,49.80407096194889,46.90860215053764,389,91,49.48765742060349,48.99193548387097,380,87
31,5,2,"Davis, Tyler",824623.0,WIN_CIT29,Four-Seam,L,43,76,73.62244585193395,98.38709677419357,47.87165385897329,45.63543003851091,0.0028119586993877,0.0,65.89720825404575,65.89720825404575,97.73242630385488,2.069206261145184,0.0028119586993877,0.1125289164339005,13,1,0.3157894736842105,0.0,0.6842105263157895,44.64472633242772,31.85483870967742,504,99,49.21018830800463,53.69623655913978,347,87,75.73469884750602,99.26075268817203,5,1,28.56126126692713,1.0752688172043012,737,237
32,19,13,"Perozzi, John",1000377762.0,SUS_COU1,Slider,R,62,123,64.09513465232573,92.20430107526882,69.43223496878811,95.4428754813864,0.0149158455796455,0.0087920625870126,65.69626474726444,65.69626474726444,97.65684051398337,1.2346621961624298,0.0149158455796455,0.1757650702700187,59,21,0.3103448275862069,0.2068965517241379,0.4827586206896552,44.227675828941386,30.107526881720432,521,114,67.86162978521912,93.27956989247312,51,21,48.9099113796883,42.876344086021504,426,100,44.65229402364101,30.981182795698924,515,110
33,20,14,"O'Hanlon, Michael",1000061333.0,WAS_WIL3,Slider,R,45,57,61.76912776805929,88.70967741935483,74.5765448171428,98.0744544287548,0.0178038078365226,0.0,65.61135288278435,65.61135288278435,97.58125472411187,1.0309158085716252,0.0178038078365226,0.2385993455091274,85,29,0.4285714285714285,0.2142857142857142,0.3571428571428571,53.28362961893046,65.59139784946237,259,55,60.60829143296905,85.48387096774194,109,40,47.95188325583768,39.85215053763441,448,106,54.68589166923675,69.08602150537635,230,47
34,6,5,"Sesar, Jorden",813853.0,SUS_COU1,Changeup,L,47,64,69.14021165953233,96.37096774193547,55.87718963227972,75.22464698331194,0.0073061835499345,0.0,65.16130505135654,65.16130505135654,97.50566893424036,1.676585314399436,0.0073061835499345,0.1498237848108242,28,6,0.3333333333333333,0.2,0.4666666666666667,45.98855573255037,37.43279569892473,476,96,60.60829143296905,85.48387096774194,112,11,49.80407096194889,46.90860215053764,405,66,45.937643787390535,35.215053763440864,484,93
35,21,15,"Jones, Logan",814785.0,TRI_VAL,Slider,R,32,65,73.72347900612036,98.52150537634408,45.106269402907216,33.63286264441592,0.0012595005134899,0.0,65.13831612515641,65.13831612515641,97.43008314436887,2.0780562522314656,0.0012595005134899,0.1914184854426964,12,6,0.4117647058823529,0.2352941176470588,0.3529411764705882,51.99626363898104,60.88709677419355,291,64,53.95939794340647,70.16129032258065,225,85,45.2280778056741,27.41935483870968,541,116,55.0215022017884,70.29569892473118,222,46
