pitcher_name,pitcher_id,pitcher_team,pitch_type,batter_side,pitch_count,batted_ball_count,final_pitch_score_20_80,final_pitch_score_0_100,overall_rank,pitch_type_rank,pitch_type_batter_side_rank,archetype,cluster,IVB,HB,velocity,spin_rate,extension,release_height,release_side,stuff_plus_raw,stuff_plus_20_80,stuff_plus_0_100,stuff_plus_rank,stuff_plus_pitch_type_rank,stuff_plus_model_type,stuff_plus_model_pitch_type
"Williams, Brian",1000079778.0,MIS_MUD,Cutter,R,88,44,45.072741915037966,26.326129666011788,1126,51,27,Soft-Speed Separation,0,6.609925416666666,-0.0878174305555555,83.16735354166667,2189.821815972222,6.470782569444444,6.082258819444444,2.827282013888889,48.111104445727605,44.04277570638489,24.197773411918792,1158,37,pitch_type_specific,Cutter
"Williams, Brian",1000079778.0,MIS_MUD,Cutter,L,56,44,43.7015676801508,20.104780615586115,1221,54,26,Soft-Speed Separation,0,6.609925416666666,-0.0878174305555555,83.16735354166667,2189.821815972222,6.470782569444444,6.082258819444444,2.827282013888889,48.111104445727605,44.04277570638489,24.197773411918792,1159,38,pitch_type_specific,Cutter
"Wilson, Bradley",1000073000.0,FLO_Y'A,Four-Seam,R,38,23,47.0924249810287,38.179436804191226,945,298,163,Soft-Speed Separation,0,12.506557833333334,5.0121855,92.18402416666666,2260.824711666666,6.774356666666667,5.644169000000001,1.2378384999999998,48.10777298560148,44.0306086167017,24.09954158480681,1160,394,pitch_type_specific,Four-Seam
"Nettleton, Blake",10067637.0,WIN_CIT29,Four-Seam,R,96,70,40.31074012593432,9.69220694171578,1380,462,239,Soft-Speed Separation,0,14.498991255411257,7.962968268398269,89.5064851948052,2138.7513285714285,6.48968645021645,5.652488095238096,1.3403819047619048,48.10112629356042,44.00633370567219,24.001309757694827,1161,395,pitch_type_specific,Four-Seam
"Nettleton, Blake",10067637.0,WIN_CIT29,Four-Seam,L,135,70,38.7305396966154,6.352324819908317,1431,477,231,Soft-Speed Separation,0,14.498991255411257,7.962968268398269,89.5064851948052,2138.7513285714285,6.48968645021645,5.652488095238096,1.3403819047619048,48.10112629356042,44.00633370567219,24.001309757694827,1162,396,pitch_type_specific,Four-Seam
"Wehrle, Tyler",806332.0,WIN_CIT29,Changeup,L,51,17,42.8654562845995,17.354289456450555,1263,164,95,Soft-Speed Separation,0,6.351669076923077,15.776331999999998,84.18995769230769,1897.737467692308,5.564789538461539,5.569566769230769,1.867591846153846,48.095052008761144,43.98414932851745,23.903077930582842,1163,158,pitch_type_specific,Changeup
"Daly, Ryan",831333.0,JOL_SLA,Sinker,L,67,43,50.96510907871135,58.54616895874263,634,69,36,Soft-Speed Separation,0,12.72270090225564,15.4271207518797,90.1752957894737,2199.873042105263,6.926212631578948,5.423288721804512,2.0197044360902257,48.09210422854217,43.97338350664574,23.804846103470858,1164,78,pitch_type_specific,Sinker
"Daly, Ryan",831333.0,JOL_SLA,Sinker,R,66,43,49.66379208343015,51.66994106090373,739,88,42,Soft-Speed Separation,0,12.72270090225564,15.4271207518797,90.1752957894737,2199.873042105263,6.926212631578948,5.423288721804512,2.0197044360902257,48.09210422854217,43.97338350664574,23.804846103470858,1165,79,pitch_type_specific,Sinker
"Hagan, Jack",699522.0,DOW_EAS1,Four-Seam,R,44,25,51.014607970011184,58.67714472822529,632,177,99,Soft-Speed Separation,0,13.510186419753088,13.24311950617284,91.60269839506174,2381.426504938272,5.991373703703704,5.8269235802469135,1.965397654320988,48.08821925782447,43.95919489704237,23.673870333988212,1166,397,pitch_type_specific,Four-Seam
"Hagan, Jack",699522.0,DOW_EAS1,Four-Seam,L,37,25,50.62738988440943,56.71250818598559,662,185,81,Soft-Speed Separation,0,13.510186419753088,13.24311950617284,91.60269839506174,2381.426504938272,5.991373703703704,5.8269235802469135,1.965397654320988,48.08821925782447,43.95919489704237,23.673870333988212,1167,398,pitch_type_specific,Four-Seam
"Gregory, Ben",833406.0,GAT_GRI,Sinker,R,136,66,53.14445257401069,69.28618205631957,470,47,24,Soft-Speed Separation,0,14.689477136563877,15.90617845814978,89.13032022026431,2259.711811894273,6.542401145374449,5.853679030837005,2.140367400881057,48.07963976127421,43.927861037409784,23.542894564505566,1168,80,pitch_type_specific,Sinker
"Gregory, Ben",833406.0,GAT_GRI,Sinker,L,91,66,52.63825537587143,66.86313032089063,507,54,29,Soft-Speed Separation,0,14.689477136563877,15.90617845814978,89.13032022026431,2259.711811894273,6.542401145374449,5.853679030837005,2.140367400881057,48.07963976127421,43.927861037409784,23.542894564505566,1169,81,pitch_type_specific,Sinker
"Johnston, Spencer",800918.0,DOW_EAS1,Four-Seam,R,27,12,55.717991757153406,79.3713163064833,316,74,42,Soft-Speed Separation,0,17.694802280701754,11.849896140350875,84.82508140350876,2137.1450596491227,5.959494912280702,6.322734210526316,1.923878245614035,48.06588260370169,43.877617431413164,23.41191879502292,1170,399,pitch_type_specific,Four-Seam
"Johnston, Spencer",800918.0,DOW_EAS1,Four-Seam,L,30,12,52.95486175669434,68.30386378519974,485,127,54,Soft-Speed Separation,0,17.694802280701754,11.849896140350875,84.82508140350876,2137.1450596491227,5.959494912280702,6.322734210526316,1.923878245614035,48.06588260370169,43.877617431413164,23.41191879502292,1171,400,pitch_type_specific,Four-Seam
"Dill, Austin",1000429156.0,TRI_VAL,Four-Seam,R,73,42,49.81437623904668,52.32481990831697,729,212,120,Soft-Speed Separation,0,16.40753221238938,13.3298996460177,87.24248477876107,2323.7489415929203,5.332861238938054,6.283720884955753,1.634009203539823,48.061126554034075,43.86024748530764,23.280943025540275,1172,401,pitch_type_specific,Four-Seam
"Dill, Austin",1000429156.0,TRI_VAL,Four-Seam,L,40,42,46.17653068162805,32.80943025540275,1027,336,159,Soft-Speed Separation,0,16.40753221238938,13.3298996460177,87.24248477876107,2323.7489415929203,5.332861238938054,6.283720884955753,1.634009203539823,48.061126554034075,43.86024748530764,23.280943025540275,1173,402,pitch_type_specific,Four-Seam
