pitcher_name,pitcher_id,pitcher_team,pitch_type,split_pitch_count_vs_rhh,split_pitch_count_vs_lhh,pitch_value_20_80_vs_rhh,pitch_value_20_80_vs_lhh,location_score_20_80_vs_rhh,location_score_20_80_vs_lhh,final_pitch_score_vs_rhh,final_pitch_score_vs_lhh,final_pitch_score_0_100_vs_rhh,final_pitch_score_0_100_vs_lhh,platoon_gap,absolute_platoon_gap,average_final_pitch_score,minimum_final_pitch_score,pitch_type_median_gap,stronger_side,platoon_category,right_handed_killer_rank,left_handed_killer_rank,balanced_rank
"Langhorne, Miles",695680.0,SUS_COU1,Slider,31.0,30.0,58.9647395472584,58.9647395472584,58.91943430057757,45.14769095126397,58.95114797325415,54.81962496846007,88.08120497707924,76.55533726260641,4.131523004794083,4.131523004794083,56.885386470857114,54.81962496846007,5.094112081866381,RHH,Balanced Weapon,142,533,
"Thiels, Brenton",816364.0,MIS_MUD,Four-Seam,82.0,111.0,37.47762093663343,37.47762093663343,53.73687948111443,40.06631309255071,42.35539849997773,38.25422858340861,15.782580222658806,5.435494433529797,4.10116991656912,4.10116991656912,40.30481354169317,38.25422858340861,1.4124000278825655,RHH,Balanced Weapon,143,532,
"Rohde, Isaac",1000135938.0,NEW_YOR13,Changeup,551.0,250.0,58.37625129295221,58.37625129295221,55.85690166067381,42.28463514452952,57.62044640326869,53.54876644842541,85.52717747216765,71.0543549443353,4.071679954843276,4.071679954843276,55.58460642584705,53.54876644842541,-0.4062468487006363,RHH,Balanced Weapon,144,531,
"Tokar, Heitor",677573.0,OTT_TIT,Slider,97.0,44.0,62.12312798312509,62.12312798312509,52.00477204427387,38.46488633933135,59.08762120146972,55.02565548998696,88.8015717092338,77.40667976424362,4.061965711482763,4.061965711482763,57.056638345728345,55.02565548998696,5.094112081866381,RHH,Balanced Weapon,145,530,
"Bice, Emmett",828456.0,NEW_YOR13,Curveball,63.0,107.0,41.00179632167115,41.00179632167115,57.08331528995496,43.56324724796217,45.82625201215629,41.77023159955846,31.17223313686968,13.817943680419123,4.056020412597832,4.056020412597832,43.79824180585737,41.77023159955846,1.825739027824227,RHH,Balanced Weapon,146,529,
"Flontek, Zac",1000563032.0,DOW_EAS1,Four-Seam,179.0,166.0,54.27146261423216,54.27146261423216,59.56738309216526,46.04747085659067,55.86023875761209,51.80426508693971,80.09168303863785,62.737393582187295,4.05597367067238,4.05597367067238,53.8322519222759,51.80426508693971,1.4124000278825655,RHH,Balanced Weapon,147,528,
"Andueza, Axel",672847.0,DOW_EAS1,Four-Seam,188.0,264.0,46.23284219533381,46.23284219533381,56.79768714087423,43.31176665381897,49.402295678995934,45.35651953287936,50.4256712508186,27.89783889980353,4.045776146116573,4.045776146116573,47.379407605937644,45.35651953287936,1.4124000278825655,RHH,Balanced Weapon,148,527,
"Bihm, Gage",815079.0,MIS_MUD,Four-Seam,107.0,73.0,50.17944310107951,50.17944310107951,45.75484797726229,59.17560049230419,48.852064563934334,52.87829031844691,48.33005893909627,67.9109364767518,-4.0262257545125735,4.0262257545125735,50.865177441190625,48.852064563934334,1.4124000278825655,LHH,Balanced Weapon,612,63,
"Walsh, John",1000208173.0,MIS_MUD,Four-Seam,46.0,33.0,38.72353461952022,38.72353461952022,56.46209542862481,43.086040381014335,44.0451028622516,40.03228634796845,21.480026195153897,9.037328094302556,4.012816514283152,4.012816514283152,42.038694605110024,40.03228634796845,1.4124000278825655,RHH,Balanced Weapon,149,526,
"Westcott, Zac",686170.0,FLO_Y'A,Changeup,68.0,128.0,42.43394412415955,42.43394412415955,39.16664972833452,52.47629145876668,41.45375580541205,45.44664832454168,13.228552717747217,28.42174197773412,-3.992892519129626,3.992892519129626,43.450202064976864,41.45375580541205,-0.4062468487006363,LHH,Balanced Weapon,611,64,
"Johnson, Caiden",1000147367.0,OTT_TIT,Sinker,51.0,33.0,50.88237527883944,50.88237527883944,38.33828856025083,51.56693608217363,47.119149263262855,51.08774351983969,38.31041257367387,59.13555992141454,-3.9685942565768357,3.9685942565768357,49.10344639155127,47.119149263262855,0.3221699852655746,LHH,Balanced Weapon,610,65,
"Henderson, Drew",1000429021.0,DOW_EAS1,Curveball,159.0,98.0,52.08689774276243,52.08689774276243,53.85377374605396,40.63326358816455,52.61696054374988,48.65080749638307,66.60117878192534,47.2822527832351,3.9661530473668165,3.9661530473668165,50.633884020066475,48.65080749638307,1.825739027824227,RHH,Balanced Weapon,150,525,
"Almonte, Lisandro",1000570068.0,NEW_JER6,Four-Seam,84.0,126.0,51.96980963009681,51.96980963009681,59.478362033759126,46.27148358552292,54.22237535119551,50.260311816724645,74.26326129666012,54.35494433529797,3.9620635344708646,3.9620635344708646,52.241343583960074,50.260311816724645,1.4124000278825655,RHH,Balanced Weapon,151,524,
"Scafidi, Christian",690280.0,LAK_ERI24,Four-Seam,189.0,98.0,54.320824936758655,54.320824936758655,54.57898637762905,41.39356081514125,54.39827336901977,50.44264570027343,75.18009168303864,55.5992141453831,3.955627668746338,3.955627668746338,52.4204595346466,50.44264570027343,1.4124000278825655,RHH,Balanced Weapon,152,523,
"Turner, Eric",1000080978.0,JOL_SLA,Sinker,46.0,45.0,56.766395183196565,56.766395183196565,61.056610434721925,47.88337408037571,58.05345975865417,54.1014888523503,86.11656843483956,73.60838244924689,3.9519709063038704,3.9519709063038704,56.077474305502236,54.1014888523503,0.3221699852655746,RHH,Balanced Weapon,153,522,
"Esposito, Michael",1000059095.0,NEW_ENG23,Four-Seam,65.0,74.0,47.298187477023326,47.298187477023326,35.007586621174525,48.16960068955685,43.61100722026868,47.55961144078338,19.71185330713818,41.2573673870334,-3.948604220514696,3.948604220514696,45.58530933052603,43.61100722026868,1.4124000278825655,LHH,Balanced Weapon,609,66,
"Majick, Eli",828663.0,NEW_ENG23,Slider,145.0,69.0,52.55829682641191,52.55829682641191,43.8811372964201,57.01214187543305,49.95514896741437,53.89445034111825,52.91421087098887,73.01899148657498,-3.9393013737038842,3.9393013737038842,51.92479965426631,49.95514896741437,5.094112081866381,LHH,Balanced Weapon,608,67,
"Gilleran, Jimmy",10103730.0,NEW_ENG23,Four-Seam,63.0,38.0,36.70045933046438,36.70045933046438,62.478974921383205,49.393478253865766,44.43401400774003,40.5083650074848,22.98624754420432,10.216110019646363,3.925649000255234,3.925649000255234,42.471189507612415,40.5083650074848,1.4124000278825655,RHH,Balanced Weapon,154,521,
"Glickstein, Aaron",1000292360.0,SCH_BOO,Sinker,72.0,29.0,68.34942828332473,68.34942828332473,61.273211843585074,48.24043756165785,66.22656335140283,62.31673106682466,97.64243614931236,94.43352979698756,3.9098322845781723,3.9098322845781723,64.27164720911375,62.31673106682466,0.3221699852655746,RHH,Balanced Weapon,155,520,
"Catrambone, Ben",1000565186.0,JOL_SLA,Four-Seam,99.0,75.0,48.92876080625515,48.92876080625515,52.692147037516,39.721063979098986,50.057776675633406,46.166451758108295,53.43811394891945,32.74394237066143,3.891324917525111,3.891324917525111,48.11211421687085,46.166451758108295,1.4124000278825655,RHH,Balanced Weapon,156,519,
"Stuka, Ted",682247.0,OTT_TIT,Sinker,75.0,82.0,51.26901538728277,51.26901538728277,45.56947090469383,58.48178555465214,49.559152042506085,53.43284643749358,51.14603798297315,70.4649639816634,-3.8736943949874956,3.8736943949874956,51.49599923999983,49.559152042506085,0.3221699852655746,LHH,Balanced Weapon,607,68,
"Plumadore, Carson",1000207816.0,WIN_CIT29,Changeup,77.0,192.0,60.52555470188097,60.52555470188097,42.180798522271,54.970827731501615,55.02212784799797,58.85913661076716,77.34119187950229,87.88474132285528,-3.8370087627691873,3.8370087627691873,56.940632229382565,55.02212784799797,-0.4062468487006363,LHH,Balanced Weapon,606,69,
"Galva, Claudio",669996.0,GAT_GRI,Slider,93.0,99.0,40.2316813556525,40.2316813556525,44.99114515797598,57.74997851627681,41.659520496349536,45.48717050383979,13.686967910936476,29.011132940406025,-3.8276500074902557,3.8276500074902557,43.57334550009466,41.659520496349536,5.094112081866381,LHH,Balanced Weapon,605,70,
"Kelly, Colin",1000456530.0,SUS_COU1,Four-Seam,49.0,33.0,58.4011435380835,58.4011435380835,62.14028239906409,49.43215139665178,59.52288519637767,55.71044589565398,89.71840209561232,79.24034053700065,3.812439300723689,3.812439300723689,57.616665546015824,55.71044589565398,1.4124000278825655,RHH,Balanced Weapon,157,518,
"Zeplin, Blane",830954.0,JOL_SLA,Four-Seam,151.0,85.0,50.52174012385376,50.52174012385376,57.38894256734491,44.684867194747625,52.5819008569011,48.77067824512192,66.40471512770138,47.74066797642436,3.811222611779179,3.811222611779179,50.67628955101151,48.77067824512192,1.4124000278825655,RHH,Balanced Weapon,158,517,
"Gollert, Harley",1000114236.0,TRO_AIG,Changeup,117.0,52.0,53.84866074714078,53.84866074714078,57.1792319847406,44.48247438328751,54.847832118420726,51.0388048379848,76.68631303208906,58.808120497707925,3.8090272804359273,3.8090272804359273,52.94331847820276,51.0388048379848,-0.4062468487006363,RHH,Balanced Weapon,159,516,
"Peyton, Blake",1000017005.0,GAT_GRI,Four-Seam,175.0,59.0,50.578154745236645,50.578154745236645,42.54055871532061,55.124865299576136,48.16687593626183,51.94216791153849,44.531761624099545,63.654223968565816,-3.7752919752766587,3.7752919752766587,50.05452192390016,48.16687593626183,1.4124000278825655,LHH,Balanced Weapon,604,71,
"Leach, Landon",667743.0,TRO_AIG,Four-Seam,57.0,121.0,48.45322559337696,48.45322559337696,55.90935126589375,43.41392610819817,50.69006329513199,46.94143574782332,56.97445972495089,37.459070072036674,3.748627547308672,3.748627547308672,48.815749521477656,46.94143574782332,1.4124000278825655,RHH,Balanced Weapon,160,515,
