leaderboard,leaderboard_rank,pitcher_name,pitcher_team,pitch_type,batter_side,pitch_count,split_batted_ball_count,split_terminal_pa_count,k_pct,groundball_pct,line_drive_pct,flyball_pct,final_pitch_score_20_80,raw_pitch_score_20_80,groundball_score_20_80,groundball_score_rank,groundball_score_pitch_type_rank,strikeout_score_20_80,strikeout_score_rank,strikeout_score_pitch_type_rank,line_drive_score_20_80,line_drive_score_rank,line_drive_score_pitch_type_rank,flyball_score_20_80,flyball_score_rank,flyball_score_pitch_type_rank,location_score_20_80,stuff_plus_20_80,execution_plus_20_80,movement_quality_20_80,archetype,platoon_category,quadrant_label,overall_rank,pitch_type_rank,pitch_type_batter_side_rank
Best Overall Pitches,1447,"Beriguete, Randy",LAK_ERI24,Four-Seam,R,67,12,12,0.1666666666666666,0.25,0.4166666666666667,0.3333333333333333,38.15062747895179,30.22208819153744,41.56663381819048,1189,163,47.85195323506406,762,109,29.682587049052977,1481,248,55.05640238554163,428,23,56.65055248291863,43.562558020641085,36.22305720928086,24.99413833528722,Soft-Speed Separation,Balanced Weapon,Low Priority,1447,481,247
Best Overall Pitches,1448,"Voytko, Fawster",TRO_AIG,Four-Seam,L,79,28,22,0.1818181818181818,0.2857142857142857,0.4642857142857143,0.25,38.148215389456055,37.26159729002913,43.77312591193076,1107,136,48.88484079853823,725,88,25.21489803992624,1508,245,60.32009961905328,251,15,40.216990954785565,45.93642968637725,35.308611708127444,43.00117233294255,Soft-Speed Separation,Balanced Weapon,Low Priority,1448,482,235
Best Overall Pitches,1449,"Cosentino, Nick",JOL_SLA,Four-Seam,R,30,8,8,0.0,0.25,0.375,0.375,38.13989520965697,35.083018825433,41.56663381819048,1213,171,36.49019003684828,1461,246,33.59181493203887,1443,243,52.424553768785806,591,39,45.272606772846224,48.48233357721743,34.31986106430578,28.15943728018757,Soft-Speed Separation,Right-Handed Killer,Low Priority,1449,483,248
Best Overall Pitches,1450,"Hampton, Ky",OTT_TIT,Slider,L,43,14,12,0.0833333333333333,0.4285714285714285,0.2142857142857142,0.3571428571428571,38.11425768651699,41.84900924794994,52.59909428689188,574,57,42.171071635956174,1204,131,48.67026533784162,893,84,53.55248889025259,534,53,29.399837376506795,62.32441832199287,28.97149341445736,61.85228604923798,Tight High-Spin Breakers,Right-Handed Killer,Development Target,1450,316,141
Best Overall Pitches,1451,"Whitesell, Max",FLO_Y'A,Sinker,L,28,11,10,0.3,0.7272727272727273,0.0909090909090909,0.1818181818181818,38.11013272562959,40.581125867802754,71.05339179817423,48,4,56.94136379363668,334,13,60.24564140694272,215,12,64.62676099192646,121,13,32.34448206055889,35.93830357528223,39.09239806630536,30.97303634232122,Soft-Speed Separation,Balanced Weapon,Low Priority,1451,236,115
Best Overall Pitches,1452,"Biddinger, Tyler",WIN_CIT29,Sinker,R,55,15,12,0.0833333333333333,0.4666666666666667,0.1333333333333333,0.4,38.07480135237934,34.871972189200946,54.95268585354818,431,59,42.171071635956174,1196,75,56.26533665335708,373,37,50.84544459873232,691,86,45.5480693997956,36.133376163137214,38.968008733421385,24.079718640093787,Soft-Speed Separation,Balanced Weapon,Low Priority,1452,237,122
Best Overall Pitches,1453,"Kostura, Brit",WAS_WIL3,Slider,R,27,13,8,0.125,0.1538461538461538,0.3076923076923077,0.5384615384615384,38.006120348384144,41.79087753198302,35.626078181197414,1454,169,45.01151243551012,1009,147,39.90672151224686,1315,153,42.09960919535911,1212,143,29.17502025332011,59.59810759840625,29.866247776310328,75.35756154747948,Tight High-Spin Breakers,Balanced Weapon,Development Target,1453,317,176
Best Overall Pitches,1454,"Hickey, Matt",GAT_GRI,Four-Seam,R,34,9,13,0.5384615384615384,0.3333333333333333,0.2222222222222222,0.4444444444444444,37.97735285643909,36.148616822989865,46.71511537025113,934,95,73.19742498493002,42,3,47.92565050298717,943,162,48.038139407526096,871,84,42.24440360115395,47.25704764232901,34.562281860937944,31.676436107854627,Soft-Speed Separation,Balanced Weapon,Low Priority,1454,484,249
Best Overall Pitches,1455,"Andueza, Axel",DOW_EAS1,Slider,L,70,18,21,0.2857142857142857,0.2222222222222222,0.3333333333333333,0.4444444444444444,37.943839513743725,40.19479283138514,39.85047330083693,1310,127,55.96749837664676,371,65,37.501042815024775,1400,127,48.038139407526096,880,85,32.69161510591375,50.59680129533732,33.23354847927753,62.837045720984754,Tight High-Spin Breakers,Right-Handed Killer,Development Target,1455,318,142
Best Overall Pitches,1456,"Biddinger, Tyler",WIN_CIT29,Sinker,L,63,24,25,0.08,0.2083333333333333,0.3333333333333333,0.4583333333333333,37.91692612718082,34.871972189200946,38.99239304216015,1337,117,41.94383637199186,1206,86,37.501042815024775,1376,120,47.16085653527416,921,87,45.02181864913387,36.133376163137214,38.74672066920144,24.079718640093787,Soft-Speed Separation,Balanced Weapon,Low Priority,1456,238,116
