pitcher_name,pitcher_id,pitcher_team,pitch_type,batter_side,pitch_count,batted_ball_count,raw_pitch_score_20_80,raw_pitch_score_0_100,groundball_pct,line_drive_pct,flyball_pct,groundball_score_20_80,groundball_score_0_100,groundball_score_rank,groundball_score_pitch_type_rank,strikeout_score_20_80,strikeout_score_0_100,strikeout_score_rank,strikeout_score_pitch_type_rank,line_drive_score_20_80,line_drive_score_0_100,line_drive_score_rank,line_drive_score_pitch_type_rank,flyball_score_20_80,flyball_score_0_100,flyball_score_rank,flyball_score_pitch_type_rank,location_score_20_80,location_score_0_100,final_pitch_score_20_80,final_pitch_score_0_100,overall_rank,pitch_type_rank,pitch_type_batter_side_rank,platoon_gap,better_side,platoon_category,IVB,HB,velocity,spin_rate,extension,release_height,release_side,movement_quality_20_80,movement_quality_0_100,archetype,cluster
"Delongchamp, Luke",802194.0,TRI_VAL,Changeup,L,130,81,47.97586023273683,43.68279569892473,0.382716049382716,0.2469135802469135,0.3703703703703703,49.7711866365993,53.62903225806451,346,83,40.44713052913413,16.666666666666664,621,91,43.7215780011392,22.983870967741936,574,93,53.62933999268528,64.85215053763442,262,67,55.24765622623096,73.49165596919127,50.157399030785065,54.87528344671202,598,83,48,-0.9321025889968412,Balanced,Balanced Weapon,7.802793648648649,16.435277117117117,82.25478369369368,1853.5916770270271,5.502024324324324,5.61761536036036,2.13591527027027,56.12903225806452,60.215053763440864,Soft-Speed Separation,0
"Burcham, Jacob",1000122547.0,GAT_GRI,Changeup,R,30,19,49.12746179935969,48.79032258064516,0.3684210526315789,0.2631578947368421,0.3684210526315789,48.67621453279567,49.39516129032258,374,87,59.20852438253482,83.40053763440861,124,13,41.61545162966769,16.532258064516128,619,97,53.78504234501917,65.32258064516128,258,64,52.51979393100534,63.4788189987163,50.145161438853386,54.79969765684052,599,84,36,-5.096745330139605,LHH,Left-Handed Killer,3.825023924050633,18.05254012658228,83.34890632911392,1908.507541772152,6.233246075949367,4.775174050632911,3.2591345569620254,52.66129032258064,54.43548387096774,Soft-Speed Separation,0
"Heredia-Bustos, Rolando",837343.0,DOW_EAS1,Slider,L,142,120,56.46859550636447,77.28494623655914,0.25,0.2,0.55,39.605366081967794,14.85215053763441,633,134,54.9276834030515,72.71505376344086,204,80,49.80407096194889,46.90860215053764,391,92,39.28136822511624,14.650537634408604,637,133,35.34000735045525,4.621309370988447,50.1300190595917,54.72411186696901,600,175,67,11.289058523293749,RHH,Right-Handed Killer,6.712551544715447,-4.1768396747967484,78.73380094850948,2331.642729810298,5.292040325203252,5.4706518428184285,1.666219322493225,75.80645161290322,93.01075268817203,Tight High-Spin Breakers,3
"Burcham, Jacob",1000122547.0,GAT_GRI,Slider,R,69,31,43.15981533621592,23.118279569892472,0.4193548387096774,0.0967741935483871,0.4838709677419355,52.57765472670013,63.30645161290322,274,60,55.77273253146899,75.8736559139785,179,69,63.18762083836548,91.5994623655914,63,15,44.56344496163068,30.64516129032258,516,111,66.38998882822077,93.5173299101412,50.128867383817365,54.6485260770975,601,176,109,9.40965066226348,RHH,Right-Handed Killer,0.3774810204081632,-9.374683673469388,80.7589543877551,2374.5136428571427,5.886477142857143,4.830244795918367,3.3897082653061226,70.64516129032258,84.40860215053763,Tight High-Spin Breakers,3
"McEvoy, Aidan",1000079355.0,FLO_Y'A,Cutter,R,37,20,51.86492585922704,60.61827956989247,0.2,0.2,0.6,35.775452291618244,5.846774193548387,703,30,49.97006184966892,56.31720430107527,327,11,49.80407096194889,46.90860215053764,399,17,35.287602887751675,6.854838709677419,698,30,45.89367743624877,37.291399229781774,50.07355133233356,54.572940287226,602,22,10,-1.0811690254198751,Balanced,Balanced Weapon,7.84334904109589,1.2969772602739726,83.1117687671233,2154.684558904109,6.107361506849315,4.965969726027397,-2.6607252054794523,53.467741935483865,55.77956989247311,Glove-Side Power Break,1
"Brothers, Kellen",1000131959.0,SUS_COU1,Sinker,L,68,47,50.91519611776058,56.18279569892473,0.2765957446808511,0.1914893617021276,0.5319148936170213,41.642554268323934,21.63978494623656,584,107,42.87790879413551,26.478494623655912,544,56,50.9075019358024,51.747311827956985,358,52,40.72592164501407,18.346774193548388,608,109,48.10079615651534,47.11168164313222,50.070876129387,54.4973544973545,603,71,36,1.5216184227111853,Balanced,Balanced Weapon,16.43414590909091,15.927088454545457,89.0697779090909,2334.7987727272725,6.445923272727272,5.931179,2.7431423636363634,38.064516129032256,30.107526881720432,Arm-Side Run Power,2
"Rodriguez, Luis",693543.0,TRO_AIG,Four-Seam,R,91,53,49.63438895900224,50.94086021505376,0.1886792452830188,0.2264150943396226,0.5849056603773585,34.908301999463625,4.704301075268817,710,220,48.09272721732184,48.185483870967744,386,102,46.37927105253569,33.19892473118279,498,156,36.49326789525796,8.870967741935484,679,204,51.0631653877112,58.53658536585365,50.06302188761492,54.421768707483,604,170,99,-1.256249715842415,Balanced,Balanced Weapon,20.568684827586207,6.843030957854406,95.15456980842912,2355.629606130268,6.070435517241379,6.056051839080459,2.042050153256705,22.338709677419356,3.897849462365592,Arm-Side Run Power,2
"Martzolf, Max",10998500.0,JOL_SLA,Sinker,R,99,44,54.77219927262063,71.23655913978494,0.3181818181818182,0.1818181818181818,0.5,44.827975796080814,32.93010752688172,499,95,43.07939041503134,27.55376344086021,540,54,52.16140076972681,57.795698924731184,317,45,43.27513356248082,27.1505376344086,545,102,39.06963866112958,10.911424903722722,50.06143108917331,54.346182917611486,605,72,36,-2.929484796158576,Balanced,Balanced Weapon,10.517043195266272,-19.64002704142012,84.55340343195266,2102.511010650888,5.484437396449704,4.862226804733727,-1.464600355029586,53.225806451612904,55.376344086021504,Glove-Side Power Break,1
"Willeman, Landon",812254.0,EVA_OTT,Curveball,L,52,21,51.38391948692846,58.333333333333336,0.4761904761904761,0.238095238095238,0.2857142857142857,56.93116656212051,76.68010752688173,176,39,59.39940170759404,83.93817204301075,121,31,44.86490374565231,26.008064516129032,554,52,60.39127072261471,84.67741935483872,119,30,46.9754939153971,41.91270860077022,50.06139181546905,54.27059712773998,606,66,28,1.9173803504796323,Balanced,Balanced Weapon,-7.827454423076923,-9.83976298076923,77.79304625,2120.590870192308,5.3673276923076925,5.630364423076923,1.8710244230769235,70.88709677419354,84.81182795698925,Tight High-Spin Breakers,3
"Hopewell, Chase",803045.0,FLO_Y'A,Slider,L,40,30,52.39024183219652,61.693548387096776,0.4,0.1666666666666666,0.4333333333333333,51.09510745301644,57.66129032258065,313,70,48.78803634041335,51.61290322580645,361,120,54.12584227620842,67.40591397849462,242,68,48.60015401230025,45.63172043010753,405,92,44.60053697057699,31.12965340179717,50.053330373710665,54.19501133786848,607,177,68,4.973140516700696,RHH,Balanced Weapon,0.275751129032258,-2.041583870967742,81.18628209677419,1928.578058064516,6.140754919354839,6.629222016129033,0.7429958870967742,61.774193548387096,69.6236559139785,Soft-Speed Separation,0
