dependent,model,formula,term,coefficient,robust_se,t_stat,p_value,p_stars,ci_lower,ci_upper,r_squared,adj_r_squared,aic,bic,sample_size,sample
woba_value,Batter-side-specific,woba_value ~ movement_quality_20_80 + location_score_20_80 + C(pitch_type),location_score_20_80,-0.0007351476136693478,0.00022522742094806397,-3.2640235836952916,0.0011745551191583796,**,-0.0011776694368219516,-0.000292625790516744,0.0819577656024213,0.06709068488343217,-3092.390344741526,-3054.4050332106285,503,R
woba_value,Batter-side-specific,woba_value ~ movement_quality_20_80 + location_score_20_80 + C(pitch_type),pitch_type_Curveball,-0.004914277783115323,0.01208929478260873,-0.4064983004786057,0.6845525489033512,,-0.028667055066228207,0.01883849949999756,0.0819577656024213,0.06709068488343217,-3092.390344741526,-3054.4050332106285,503,R
woba_value,Batter-side-specific,woba_value ~ movement_quality_20_80 + location_score_20_80 + C(pitch_type),pitch_type_Cutter,-0.0003112445286614243,0.014061225516866926,-0.022134950348963234,0.9823492446946234,,-0.02793842742358394,0.02731593836626109,0.0819577656024213,0.06709068488343217,-3092.390344741526,-3054.4050332106285,503,R
woba_value,Batter-side-specific,woba_value ~ movement_quality_20_80 + location_score_20_80 + C(pitch_type),pitch_type_Four-Seam,0.010917873113453313,0.00929771029051956,1.174253958481128,0.2408590782664414,,-0.007350061099824409,0.029185807326731032,0.0819577656024213,0.06709068488343217,-3092.390344741526,-3054.4050332106285,503,R
woba_value,Batter-side-specific,woba_value ~ movement_quality_20_80 + location_score_20_80 + C(pitch_type),pitch_type_Sinker,0.009410722862186487,0.009679453480738877,0.9722370050037291,0.33140845723814133,,-0.009607251873692156,0.028428697598065128,0.0819577656024213,0.06709068488343217,-3092.390344741526,-3054.4050332106285,503,R
woba_value,Batter-side-specific,woba_value ~ movement_quality_20_80 + location_score_20_80 + C(pitch_type),pitch_type_Slider,-0.01072365740390593,0.007898143688168376,-1.3577440253423405,0.17516478154096338,,-0.02624175431101143,0.00479443950319957,0.0819577656024213,0.06709068488343217,-3092.390344741526,-3054.4050332106285,503,R
woba_value,Batter-side-specific,woba_value ~ movement_quality_20_80 + location_score_20_80 + C(pitch_type),pitch_type_Splitter,-0.018202567755835723,0.10876431351697365,-0.16735790598260017,0.8671569301447228,,-0.23190026987786633,0.19549513436619487,0.0819577656024213,0.06709068488343217,-3092.390344741526,-3054.4050332106285,503,R
whiff_pct,WLS pitch_count,whiff_pct ~ weighted full model,Intercept,0.8198099507164325,0.2512673185140237,3.2627002809785526,0.0011418413406781278,**,0.32672357894265575,1.3128963224902093,0.3517875944581007,0.3444819218546571,-340.7578613142421,-282.0096689412677,988,
whiff_pct,WLS pitch_count,whiff_pct ~ weighted full model,movement_quality_20_80,0.0005271471546611057,0.0005004019626382366,1.0534474163167988,0.29239670564654846,,-0.00045484043387597657,0.001509134743198188,0.3517875944581007,0.3444819218546571,-340.7578613142421,-282.0096689412677,988,
whiff_pct,WLS pitch_count,whiff_pct ~ weighted full model,location_score_20_80,0.0023209341859096564,0.000534841420796428,4.339481004394859,1.5769140003287342e-05,***,0.0012713626888503457,0.003370505682968967,0.3517875944581007,0.3444819218546571,-340.7578613142421,-282.0096689412677,988,
